,Susceptible,Exposed,Infected,Resistant,Dead
358,478,0,0,89,1025
359,478,0,0,89,1025
360,478,0,0,89,1025
361,478,0,0,89,1025
362,478,0,0,89,1025
363,478,0,0,89,1025
364,478,0,0,89,1025
365,478,0,0,89,1025
366,478,0,0,89,1025
367,478,0,0,89,1025
368,478,0,0,89,1025
369,478,0,0,89,1025
370,478,0,0,89,1025
371,478,0,0,89,1025
372,478,0,0,89,1025
373,478,0,0,89,1025
374,478,0,0,89,1025
375,478,0,0,89,1025
376,478,0,0,89,1025
377,478,0,0,89,1025
378,478,0,0,89,1025
379,478,0,0,89,1025
380,478,0,0,89,1025
381,478,0,0,89,1025
382,478,0,0,89,1025
383,478,0,0,89,1025
384,478,0,0,89,1025
385,478,0,0,89,1025
386,478,0,0,89,1025
387,478,0,0,89,1025
388,478,0,0,89,1025
389,478,0,0,89,1025
390,478,0,0,89,1025
391,478,0,0,89,1025
392,478,0,0,89,1025
393,478,0,0,89,1025
394,478,0,0,89,1025
395,478,0,0,89,1025
396,478,0,0,89,1025
397,478,0,0,89,1025
398,478,0,0,89,1025
399,478,0,0,89,1025
400,478,0,0,89,1025
401,478,0,0,89,1025
402,478,0,0,89,1025
403,478,0,0,89,1025
404,478,0,0,89,1025
405,478,0,0,89,1025
406,478,0,0,89,1025
407,478,0,0,89,1025
408,478,0,0,89,1025
409,478,0,0,89,1025
410,478,0,0,89,1025
411,478,0,0,89,1025
412,478,0,0,89,1025
413,478,0,0,89,1025
414,478,0,0,89,1025
415,478,0,0,89,1025
416,478,0,0,89,1025
417,478,0,0,89,1025
418,478,0,0,89,1025
419,478,0,0,89,1025
420,478,0,0,89,1025
421,478,0,0,89,1025
422,478,0,0,89,1025
423,478,0,0,89,1025
424,478,0,0,89,1025
425,478,0,0,89,1025
426,478,0,0,89,1025
427,478,0,0,89,1025
428,478,0,0,89,1025
429,478,0,0,89,1025
430,478,0,0,89,1025
431,478,0,0,89,1025
432,478,0,0,89,1025
433,478,0,0,89,1025
434,478,0,0,89,1025
435,478,0,0,89,1025
436,478,0,0,89,1025
437,478,0,0,89,1025
438,478,0,0,89,1025
439,478,0,0,89,1025
440,478,0,0,89,1025
441,478,0,0,89,1025
442,478,0,0,89,1025
443,478,0,0,89,1025
444,478,0,0,89,1025
445,478,0,0,89,1025
446,478,0,0,89,1025
447,478,0,0,89,1025
448,478,0,0,89,1025
449,478,0,0,89,1025
450,478,0,0,89,1025
451,478,0,0,89,1025
452,478,0,0,89,1025
453,478,0,0,89,1025
454,478,0,0,89,1025
455,478,0,0,89,1025
456,478,0,0,89,1025
457,478,0,0,89,1025
458,478,0,0,89,1025
459,478,0,0,89,1025
460,478,0,0,89,1025
461,478,0,0,89,1025
462,478,0,0,89,1025
463,478,0,0,89,1025
464,478,0,0,89,1025
465,478,0,0,89,1025
466,478,0,0,89,1025
467,478,0,0,89,1025
468,478,0,0,89,1025
469,478,0,0,89,1025
470,478,0,0,89,1025
471,478,0,0,89,1025
472,478,0,0,89,1025
473,478,0,0,89,1025
474,478,0,0,89,1025
475,478,0,0,89,1025
476,478,0,0,89,1025
477,478,0,0,89,1025
478,478,0,0,89,1025
479,478,0,0,89,1025
480,478,0,0,89,1025
481,478,0,0,89,1025
482,478,0,0,89,1025
483,478,0,0,89,1025
484,478,0,0,89,1025
485,478,0,0,89,1025
486,478,0,0,89,1025
487,478,0,0,89,1025
488,478,0,0,89,1025
489,478,0,0,89,1025
490,478,0,0,89,1025
491,478,0,0,89,1025
492,478,0,0,89,1025
493,478,0,0,89,1025
494,478,0,0,89,1025
495,478,0,0,89,1025
496,478,0,0,89,1025
497,478,0,0,89,1025
498,478,0,0,89,1025
499,478,0,0,89,1025
500,478,0,0,89,1025
501,478,0,0,89,1025
502,478,0,0,89,1025
503,478,0,0,89,1025
504,478,0,0,89,1025
505,478,0,0,89,1025
506,478,0,0,89,1025
507,478,0,0,89,1025
508,478,0,0,89,1025
509,478,0,0,89,1025
510,478,0,0,89,1025
511,478,0,0,89,1025
512,478,0,0,89,1025
513,478,0,0,89,1025
514,478,0,0,89,1025
515,478,0,0,89,1025
516,478,0,0,89,1025
517,478,0,0,89,1025
518,478,0,0,89,1025
519,478,0,0,89,1025
520,478,0,0,89,1025
521,478,0,0,89,1025
522,478,0,0,89,1025
523,478,0,0,89,1025
524,478,0,0,89,1025
525,478,0,0,89,1025
526,478,0,0,89,1025
527,478,0,0,89,1025
528,478,0,0,89,1025
529,478,0,0,89,1025
530,478,0,0,89,1025
531,478,0,0,89,1025
532,478,0,0,89,1025
533,478,0,0,89,1025
534,478,0,0,89,1025
535,478,0,0,89,1025
536,478,0,0,89,1025
537,478,0,0,89,1025
538,478,0,0,89,1025
539,478,0,0,89,1025
540,478,0,0,89,1025
541,478,0,0,89,1025
542,478,0,0,89,1025
543,478,0,0,89,1025
544,478,0,0,89,1025
545,478,0,0,89,1025
546,478,0,0,89,1025
547,478,0,0,89,1025
548,478,0,0,89,1025
549,478,0,0,89,1025
550,478,0,0,89,1025
551,478,0,0,89,1025
552,478,0,0,89,1025
553,478,0,0,89,1025
554,478,0,0,89,1025
555,478,0,0,89,1025
556,478,0,0,89,1025
557,478,0,0,89,1025
558,478,0,0,89,1025
559,478,0,0,89,1025
560,478,0,0,89,1025
561,478,0,0,89,1025
562,478,0,0,89,1025
563,478,0,0,89,1025
564,478,0,0,89,1025
565,478,0,0,89,1025
566,478,0,0,89,1025
567,478,0,0,89,1025
568,478,0,0,89,1025
569,478,0,0,89,1025
570,478,0,0,89,1025
571,478,0,0,89,1025
572,478,0,0,89,1025
573,478,0,0,89,1025
574,478,0,0,89,1025
575,478,0,0,89,1025
576,478,0,0,89,1025
577,478,0,0,89,1025
578,478,0,0,89,1025
579,478,0,0,89,1025
580,478,0,0,89,1025
581,478,0,0,89,1025
582,478,0,0,89,1025
583,478,0,0,89,1025
584,478,0,0,89,1025
585,478,0,0,89,1025
586,478,0,0,89,1025
587,478,0,0,89,1025
588,478,0,0,89,1025
589,478,0,0,89,1025
590,478,0,0,89,1025
591,478,0,0,89,1025
592,478,0,0,89,1025
593,478,0,0,89,1025
594,478,0,0,89,1025
595,478,0,0,89,1025
596,478,0,0,89,1025
597,478,0,0,89,1025
598,478,0,0,89,1025
599,478,0,0,89,1025
600,478,0,0,89,1025
601,478,0,0,89,1025
602,478,0,0,89,1025
603,478,0,0,89,1025
604,478,0,0,89,1025
605,478,0,0,89,1025
606,478,0,0,89,1025
607,478,0,0,89,1025
608,478,0,0,89,1025
609,478,0,0,89,1025
610,478,0,0,89,1025
611,478,0,0,89,1025
612,478,0,0,89,1025
613,478,0,0,89,1025
614,478,0,0,89,1025
615,478,0,0,89,1025
616,478,0,0,89,1025
617,478,0,0,89,1025
618,478,0,0,89,1025
619,478,0,0,89,1025
620,478,0,0,89,1025
621,478,0,0,89,1025
622,478,0,0,89,1025
623,478,0,0,89,1025
624,478,0,0,89,1025
625,478,0,0,89,1025
626,478,0,0,89,1025
627,478,0,0,89,1025
628,478,0,0,89,1025
629,478,0,0,89,1025
630,478,0,0,89,1025
631,478,0,0,89,1025
632,478,0,0,89,1025
633,478,0,0,89,1025
634,478,0,0,89,1025
635,478,0,0,89,1025
636,478,0,0,89,1025
637,478,0,0,89,1025
638,478,0,0,89,1025
639,478,0,0,89,1025
640,478,0,0,89,1025
641,478,0,0,89,1025
642,478,0,0,89,1025
643,478,0,0,89,1025
644,478,0,0,89,1025
